/app/Repos/pandas/bench/io_roundtrip.py,99,109,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],/app/Repos/pandas/bench/serialize.py,76,85,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any]
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[]
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[]
/app/Repos/pandas/bench/bench_with_subset.py,24,30,bench_with,None,[n:Any;times:Any;repeat:Any;engine:Any],/app/Repos/pandas/bench/bench_with_subset.py,33,39,bench_subset,None,[n:Any;times:Any;repeat:Any;engine:Any]
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[]
/app/Repos/pandas/bench/test.py,14,31,groupby1,None,[lat:Any;lon:Any;data:Any],/app/Repos/pandas/bench/test.py,31,46,group_mean,None,[lat:Any;lon:Any;data:Any]
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[]
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[]
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[]
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/asv_bench/benchmarks/replace.py,25,31,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/replace.py,38,46,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,32,39,algo1,None,[],/app/Repos/pandas/bench/bench_unique.py,39,48,algo2,None,[]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,7,17,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,52,63,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,44,51,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,188,194,time_write_excel_openpyxl,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,52,63,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,7,17,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,68,74,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,559,564,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,45,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,111,116,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/gil.py,154,165,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/gil.py,180,191,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/plotting.py,13,20,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/plotting.py,30,39,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,99,104,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,111,116,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,13,19,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,111,116,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,111,116,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,38,45,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,52,63,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,38,45,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,56,62,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,84,92,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,7,17,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,38,45,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,45,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,99,104,setup,None,[self:Any]
/app/Repos/pandas/vb_suite/test_perf.py,258,279,prep_pickle_for_total,None,[df:Any;agg_name:Any],/app/Repos/pandas/vb_suite/test_perf.py,268,277,prep,None,[df:Any]
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,80,88,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,104,111,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,188,194,time_write_excel_openpyxl,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,200,207,time_write_excel_xlwt,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,194,200,time_write_excel_xlsxwriter,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,200,207,time_write_excel_xlwt,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,44,51,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,200,207,time_write_excel_xlwt,None,[self:Any]
/app/Repos/pandas/scripts/file_sizes.py,157,176,doit,None,[],/app/Repos/pandas/scripts/file_sizes.py,176,189,doit2,None,[]
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,73,80,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,102,110,setup,None,[self:Any]
/app/Repos/pandas/vb_suite/perf_HEAD.py,195,233,get_all_results,None,[repo_id:Any],/app/Repos/pandas/vb_suite/perf_HEAD.py,202,213,get_results_from_builds,None,[builds:Any]
/app/Repos/pandas/scripts/windows_builder/check_and_build.py,97,109,do_compare,None,[build:Any],/app/Repos/pandas/scripts/windows_builder/check_and_build.py,109,118,do_version,None,[build:Any]
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,95,101,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,13,19,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,32,40,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/replace.py,9,18,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/replace.py,62,71,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,95,101,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,134,140,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,108,114,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,134,140,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,121,127,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,134,140,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,606,612,f,None,[self:Any;K:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,612,618,g,None,[self:Any;K:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,188,194,time_write_excel_openpyxl,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,194,200,time_write_excel_xlsxwriter,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,134,140,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,44,51,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,194,200,time_write_excel_xlsxwriter,None,[self:Any]
/app/Repos/pandas/scripts/file_sizes.py,46,57,get_counts,None,[self:Any],/app/Repos/pandas/scripts/file_sizes.py,57,80,_count_function,None,[self:Any;indent_level:Any]
/app/Repos/pandas/asv_bench/benchmarks/packers.py,141,149,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/packers.py,300,309,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,176,182,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,9,14,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,11,21,setup,None,[self:Any;use_numexpr:Any;threads:Any],/app/Repos/pandas/asv_bench/benchmarks/eval.py,12,21,setup,None,[self:Any;engine:Any;threads:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,95,101,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,108,114,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,235,254,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,261,268,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,294,299,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,607,614,setup,None,[self:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,34,168,import_phantom_module,None,[xml_file:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,80,94,base_cmp,None,[a:Any;b:Any]
/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,36,41,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,63,70,setup,None,[self:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any]
/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,51,56,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,63,70,setup,None,[self:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,_Bitor,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,137,150,_AssTuple,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,467,486,_Tuple,None,[self:Any;t:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/comment_eater.py,29,36,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/comment_eater.py,49,57,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any]
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,235,254,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,365,371,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,153,160,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,237,254,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,95,101,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,202,213,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,240,252,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,108,114,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,121,127,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,134,140,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,setup,None,[self:Any]
/app/Repos/pandas/scripts/json_manip.py,176,239,denorm,None,[queries:Any;iterable_of_things:Any;default:Any],/app/Repos/pandas/scripts/json_manip.py,204,236,_denorm,None,[queries:Any;thing:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,_Bitand,None,[self:Any;t:Any]
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,setup,None,[self:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,293,316,_If,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,316,326,_IfExp,None,[self:Any;t:Any]
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,9,14,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,652,685,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,setup,None,[self:Any]
/app/Repos/pandas/versioneer.py,1177,1201,render_pep440,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1243,1263,render_pep440_old,None,[pieces:Any]
/app/Repos/pandas/versioneer.py,1177,1201,render_pep440,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1282,1300,render_git_describe_long,None,[pieces:Any]
/app/Repos/pandas/versioneer.py,1201,1217,render_pep440_pre,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1243,1263,render_pep440_old,None,[pieces:Any]
/app/Repos/pandas/versioneer.py,1217,1243,render_pep440_post,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1243,1263,render_pep440_old,None,[pieces:Any]
/app/Repos/pandas/versioneer.py,1217,1243,render_pep440_post,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1282,1300,render_git_describe_long,None,[pieces:Any]
/app/Repos/pandas/versioneer.py,1410,1535,get_cmdclass,None,[],/app/Repos/pandas/versioneer.py,1482,1501,run,None,[self:Any]
/app/Repos/pandas/versioneer.py,1243,1263,render_pep440_old,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1282,1300,render_git_describe_long,None,[pieces:Any]
/app/Repos/pandas/versioneer.py,1263,1282,render_git_describe,None,[pieces:Any],/app/Repos/pandas/versioneer.py,1282,1300,render_git_describe_long,None,[pieces:Any]
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,259,278,get_doc_object,None,[obj:Any;what:Any;doc:Any;config:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,116,139,get_doc_object,None,[obj:Any;what:Any;config:Any]
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,8,15,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reshape.py,86,96,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,261,268,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,365,371,setup,None,[self:Any]
/app/Repos/pandas/pandas/compat/__init__.py,239,248,east_asian_len,None,[data:Any;encoding:Any;ambiguous_width:Any],/app/Repos/pandas/pandas/compat/__init__.py,287,300,east_asian_len,None,[data:Any;encoding:Any;ambiguous_width:Any]
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/reshape.py,86,96,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,277,284,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/groupby.py,365,371,setup,None,[self:Any]
/app/Repos/pandas/pandas/tools/pivot.py,277,338,_generate_marginal_results,None,[table:Any;data:Any;values:Any;rows:Any;cols:Any;aggfunc:Any;grand_margin:Any;margins_name:Any],/app/Repos/pandas/pandas/tools/pivot.py,338,376,_generate_marginal_results_without_values,None,[table:Any;data:Any;rows:Any;cols:Any;aggfunc:Any;margins_name:Any]
/app/Repos/pandas/scripts/bench_join.py,41,49,do_outer_join,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,49,56,do_inner_join,None,[a:Any;b:Any;av:Any;bv:Any]
/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,36,41,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,51,56,setup,None,[self:Any]
/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,93,105,do_outer_join_multi,None,[a:Any;b:Any;av:Any;bv:Any]
