A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;keep:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;index:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[],None,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;method:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_parse_see_also,[self:Any;content:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,parse_item_name,[text:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_index,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_index,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_member_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any;fake_autosummary:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_returns,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,methods,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,properties,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any;fake_autosummary:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_returns,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,run,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,wrap_mangling_directive,[base_directive:Any;objtype:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,test_other_parameters,[],None,/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,test_parameters,[],None
/app/Repos/pandas/pandas/conftest.py,datapath,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,deco,[*args:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None,/app/Repos/pandas/pandas/core/arrays/period.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,shift,[self:Any;periods:Any],None,/app/Repos/pandas/pandas/core/arrays/sparse.py,shift,[self:Any;periods:Any],None
