A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/frame/methods/test_copy.py,test_copy_consolidates,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any;unique:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,setup,[self:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/io/parser/test_encoding.py,test_readcsv_memmap_utf8,[all_parsers:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;function:Any;engine:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;ascending:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;ascending:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;function:Any;raw:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;ascending:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;ascending:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;ascending:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;interpolation:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;ascending:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window_size:Any;dtype:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/offsets.py,setup,[self:Any;offset:Any],None,/app/Repos/pandas/pandas/tests/tseries/offsets/test_business_quarter.py,test_on_offset,[offset:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/offsets.py,setup,[self:Any;offset:Any],None,/app/Repos/pandas/pandas/tests/tseries/offsets/test_quarter.py,test_on_offset,[offset:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int],None,/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;engine_kwargs:dict[str;cache_key_str:str],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_table_func,[kwargs:dict[str;func:Callable[...;engine_kwargs:dict[str;name:str],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int],None,/app/Repos/pandas/pandas/core/window/numba_.py,roll_table,[values:np.ndarray;begin:np.ndarray;end:np.ndarray;minimum_periods:int;*args:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;engine_kwargs:dict[str;cache_key_str:str],None,/app/Repos/pandas/pandas/core/groupby/numba_.py,generate_numba_agg_func,[kwargs:dict[str;func:Callable[...;engine_kwargs:dict[str],Callable[[np.ndarray;np.ndarray;np.ndarray;np.ndarray;int;Any];np.ndarray]
